Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
East Asia & Pacific,94.048,88.702,91.027,88.772,89.96,90.959,91.627,92.197,92.256,92.78,93.097,93.565,92.956,93.179,94.064,93.818,94.765,94.858,95.296,95.114,95.564,96.128,96.45,96.628,96.723,97.113,97.268,97.826
Europe & Central Asia (excluding high income),100,100,100,100,100,99.994,99.899,99.887,99.895,99.685,99.85,99.858,99.871,99.894,99.865,99.835,99.867,99.836,99.861,99.901,99.895,99.921,99.944,99.971,99.977,99.992,99.998,99.985
Europe & Central Asia,100,100,100,100,100,99.998,99.96,99.955,99.959,99.873,99.939,99.942,99.947,99.957,99.945,99.933,99.947,99.934,99.944,99.96,99.953,99.964,99.975,99.987,99.99,99.996,99.999,99.993
Ecuador,0,0,0,0,0,89.83,91.836,92.242,92.727,93.071,93.469,93.866,94.248,94.973,94.951,95.833,96.315,96.813,97.207,96.471,97.462,96.873,97.195,98.035,98.976,98.826,98.7,100
"Egypt, Arab Rep.",0,0,93.4,94.978,95.277,95.5,95.886,96.196,96.511,96.827,97.7,97.44,97.727,98.8,98.24,99.4,99.04,98.861,99.8,99.311,99.588,99.821,99.7,99.995,99.8,100,100,100
Euro area,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Eritrea,0,0,0,0,0,22.9,24.705,25.831,26.962,28.093,29.22,30.338,32.2,32.525,33.585,34.618,35.637,36.653,37.681,38.735,39.827,40.967,42.152,43.371,44.616,45.879,47.151,48.424
Spain,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Estonia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ethiopia,0,0,0,0,0,0,0,0,0,0,12.7,25.594,26.484,27.355,28.201,14,29.827,79.931,31.445,32.285,33.164,23,35.062,36.068,27.2,29,42.9,44.3
European Union,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fragile and conflict affected situations,0,0,0,0,0,0,0,0,0,0,0,0,33.068,33.402,34.819,34.586,40.16,41.43,41.883,41.444,41.872,43.26,46.009,47.324,47.941,49.545,52.198,54.926
Finland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Fiji,0,0,0,0,0,0,66.9,71.804,73.122,74.44,75.754,77.058,79.63,80,80.866,82.087,83.292,88.9,86.16,86.951,88.687,89.962,91.044,91.75,93.767,95.217,96.676,96
France,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Faroe Islands,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,46,48.45,50.247,52.025,53.778,55.506,57.218,58.928,60.65,62.397,64.532,67.293,69.639,71.698,73.772,76.111,78.455,80.757
Gabon,0,0,0,0,0,0,0,0,0,0,73.6,76.344,77.308,78.252,79.172,81.6,80.944,81.82,82.708,83.622,92.39,90.632,89.3,86.4,88.804,89.927,91.058,92.191
United Kingdom,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,99.9,98.944,99.014,97.935,99.087,99.113,99.151,99.214,99.317,99.548,100,99.916,100,99.994,100,100
Ghana,0,0,0,30.6,32.108,34.17,36.237,38.307,42.6,42.458,43.7,46.591,48.639,48.3,52.671,54.649,55.093,58.573,60.5,62.543,64.2,64.063,69.229,70.7,78.3,75.85,79.3,79
Gibraltar,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Guinea,0,0,0,0,0,0,0,0,0,16.4,16.504,17.479,18.44,19.382,20.299,20.2,22.067,22.942,23.828,24.739,25.689,26.687,26.2,28.806,29.91,31.618,33.5,35.441
"Gambia, The",0,0,0,17.7,18.709,20.286,21.866,23.451,25.041,26.631,34.3,29.792,31.354,27.8,34.416,30.456,37.385,38.86,40.347,41.859,48.419,49.728,50.846,51.5,52.522,53.632,54.747,56.2
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.536,8.986,9.561,4.7,6,11.488,12.219,14.786,17.2,20.301,23.195,26.047
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.1,65.789,66.033,66.303,66.59,66.886,67.184
Greece,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Grenada,0,0,0,0,0,0,0,0,85.04,85.567,85.99,86.403,86.802,87.181,87.537,87.867,88.181,88.493,90,89.165,89.553,88.8,90.47,90.985,91.526,92.581,93.66,94.696
Greenland,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
