"Year","Country","Total","Solid.Fuel","Liquid.Fuel","Gas.Fuel","Cement","Gas.Flaring","Per.Capita","Pop","PercentElectrified","HDEvIndx","LifeTime","PopExposed","RuralPercent","UrbanPercent"
1927,"AUSTRIA",5492,5339,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,"AUSTRIA",5784,5513,199,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,"AUSTRIA",6598,6302,218,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,"AUSTRIA",5149,4804,263,NA,82,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,"AUSTRIA",4941,4639,261,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,"AUSTRIA",4141,3871,215,7,48,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,"AUSTRIA",3884,3572,275,NA,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,"AUSTRIA",3754,3492,220,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,"AUSTRIA",3800,3506,244,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,"AUSTRIA",3710,3407,253,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,"AUSTRIA",4165,3865,241,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,"AUSTRIA",1580,1443,48,NA,88,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,"AUSTRIA",1730,1509,121,NA,101,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"AUSTRIA",2005,1548,346,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,"AUSTRIA",2177,1517,546,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,"AUSTRIA",2333,1511,729,NA,93,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,"AUSTRIA",2624,1595,924,NA,105,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,"AUSTRIA",2563,1547,1016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,"AUSTRIA",1245,851,373,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,"AUSTRIA",3483,2700,707,22,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,"AUSTRIA",4812,3974,774,26,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,"AUSTRIA",6684,5640,829,116,98,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,"AUSTRIA",7254,6070,1009,26,148,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"AUSTRIA",5704,4744,532,253,175,NA,0.82,6956097.56097561,NA,NA,NA,NA,NA,NA
1951,"AUSTRIA",6351,5145,744,260,201,NA,0.92,6903260.86956522,NA,NA,NA,NA,NA,NA
1952,"AUSTRIA",6025,4747,826,263,189,NA,0.87,6925287.35632184,NA,NA,NA,NA,NA,NA
1953,"AUSTRIA",5928,4564,875,299,190,NA,0.86,6893023.25581395,NA,NA,NA,NA,NA,NA
1954,"AUSTRIA",6690,4992,1141,336,221,NA,0.96,6968750,NA,NA,NA,NA,NA,NA
1955,"AUSTRIA",7936,5240,2031,412,253,NA,1.14,6961403.50877193,NA,NA,NA,NA,NA,NA
1956,"AUSTRIA",7700,5453,1583,400,263,NA,1.11,6936936.93693694,NA,NA,NA,NA,NA,NA
1957,"AUSTRIA",7966,5603,1664,409,290,NA,1.14,6987719.29824561,NA,NA,NA,NA,NA,NA
1958,"AUSTRIA",7668,5075,1857,443,293,NA,1.1,6970909.09090909,NA,NA,NA,NA,NA,NA
1959,"AUSTRIA",7620,4718,1964,609,329,NA,1.09,6990825.68807339,NA,NA,NA,NA,NA,NA
1960,"AUSTRIA",8405,4926,2297,797,385,NA,1.19,7063025.21008403,NA,NA,68.58560976,NA,35.28,64.72
1961,"AUSTRIA",8689,4820,2607,843,419,NA,1.23,7064227.64227642,NA,NA,69.57731707,NA,35.186,64.814
1962,"AUSTRIA",9246,4936,3009,884,416,NA,1.3,7112307.69230769,NA,NA,69.3095122,NA,35.137,64.863
1963,"AUSTRIA",10088,5349,3367,922,450,NA,1.41,7154609.92907801,NA,NA,69.44365854,NA,35.087,64.913
1964,"AUSTRIA",10620,5168,3977,961,513,NA,1.47,7224489.79591837,NA,NA,69.92195122,NA,35.038,64.962
1965,"AUSTRIA",10414,4903,4027,934,550,NA,1.43,7282517.48251748,NA,NA,69.72219512,NA,34.989,65.011
1966,"AUSTRIA",10706,4597,4494,1002,612,NA,1.46,7332876.71232877,NA,NA,70.04585366,NA,34.939,65.061
1967,"AUSTRIA",10899,4299,5022,960,618,NA,1.48,7364189.18918919,NA,NA,69.91780488,NA,34.89,65.11
1968,"AUSTRIA",11549,4199,5708,1022,619,NA,1.56,7403205.12820513,NA,NA,70.05756098,NA,34.841,65.159
1969,"AUSTRIA",12188,4183,6109,1275,620,NA,1.64,7431707.31707317,NA,NA,69.83317073,NA,34.792,65.208
1970,"AUSTRIA",13824,4858,6763,1548,654,NA,1.85,7472432.43243243,NA,NA,69.91463415,NA,34.742,65.258
1971,"AUSTRIA",14223,4107,7580,1790,747,NA,1.9,7485789.47368421,NA,NA,70.11463415,NA,34.699,65.301
1972,"AUSTRIA",15324,4267,8261,1933,863,NA,2.04,7511764.70588235,NA,NA,70.46341463,NA,34.689,65.311
1973,"AUSTRIA",16407,4327,9149,2080,851,NA,2.17,7560829.49308756,NA,NA,71.01463415,NA,34.679,65.321
1974,"AUSTRIA",15672,4532,8007,2258,875,NA,2.07,7571014.49275362,NA,NA,71.01219512,NA,34.669,65.331
1975,"AUSTRIA",14833,3975,7879,2213,766,NA,1.96,7567857.14285714,NA,NA,71.11463415,NA,34.659,65.341
1976,"AUSTRIA",15930,3894,8707,2528,800,NA,2.1,7585714.28571429,NA,NA,71.56585366,NA,34.649,65.351
1977,"AUSTRIA",15331,3423,8572,2570,766,NA,2.02,7589603.96039604,NA,NA,71.91463415,NA,34.639,65.361
1978,"AUSTRIA",15676,3503,8697,2675,800,NA,2.07,7572946.85990338,NA,NA,72.01219512,NA,34.629,65.371
1979,"AUSTRIA",16797,3940,9430,2664,763,NA,2.22,7566216.21621622,NA,NA,72.31219512,NA,34.619,65.381
1980,"AUSTRIA",14264,3873,7116,2534,742,NA,1.89,7547089.94708995,NA,NA,72.46341463,NA,34.609,65.391
1981,"AUSTRIA",15307,3996,8185,2407,719,NA,2.03,7540394.08866995,NA,NA,72.81219512,NA,34.636,65.364
1982,"AUSTRIA",14690,3856,7820,2332,682,NA,1.95,7533333.33333333,NA,NA,72.96097561,NA,34.9,65.1
1983,"AUSTRIA",14176,3929,7210,2370,667,NA,1.88,7540425.53191489,NA,NA,73.01219512,NA,35.164,64.836
1984,"AUSTRIA",14876,4600,6958,2653,666,NA,1.97,7551269.035533,NA,NA,73.61219512,NA,35.43,64.57
1985,"AUSTRIA",14917,4546,6912,2839,620,NA,1.97,7572081.21827411,NA,NA,73.81463415,NA,35.695,64.305
1986,"AUSTRIA",14748,4019,7584,2524,621,NA,1.95,7563076.92307692,NA,NA,74.31707317,NA,35.963,64.037
1987,"AUSTRIA",15747,4039,8464,2629,615,NA,2.08,7570673.07692308,NA,NA,74.76829268,NA,36.231,63.769
1988,"AUSTRIA",14546,3899,7480,2519,648,NA,1.91,7615706.80628272,NA,NA,75.21707317,NA,36.5,63.5
1989,"AUSTRIA",14758,3779,7591,2743,646,NA,1.93,7646632.12435233,NA,NA,75.26585366,NA,36.769,63.231
1990,"AUSTRIA",15731,4285,7543,3238,666,NA,2.05,7673658.53658537,100,0.795,75.56829268,99.65557002,37.04,62.96
1991,"AUSTRIA",16800,4483,8212,3423,682,NA,2.18,7706422.01834862,100,0.8,75.61707317,NA,37.311,62.689
1992,"AUSTRIA",15451,3477,7929,3361,684,NA,1.99,7764321.6080402,100,0.805,75.81707317,NA,37.583,62.417
1993,"AUSTRIA",15572,3120,8234,3545,672,NA,1.99,7825125.6281407,100,0.807,76.06829268,NA,37.856,62.144
1994,"AUSTRIA",15559,3167,8088,3646,657,NA,1.97,7897969.54314721,100,0.813,76.4195122,NA,38.13,61.87
1995,"AUSTRIA",16303,3604,8195,3981,523,NA,2.05,7952682.92682927,100,0.817,76.66829268,99.23245662,38.404,61.596
1996,"AUSTRIA",17229,3620,8845,4238,527,NA,2.16,7976388.88888889,100,0.82,76.87073171,NA,38.68,61.32
1997,"AUSTRIA",17087,3847,8632,4084,524,NA,2.14,7984579.43925234,100,0.824,77.3195122,NA,38.955,61.045
1998,"AUSTRIA",17361,3371,9273,4193,524,NA,2.18,7963761.46788991,100,0.835,77.67073171,NA,39.232,60.768
1999,"AUSTRIA",16872,3355,8732,4266,519,NA,2.11,7996208.53080569,100,0.834,77.87560976,NA,39.509,60.491
2000,"AUSTRIA",16985,3791,8568,4113,514,NA,2.12,8011792.45283019,100,0.838,78.12682927,98.67842588,39.787,60.213
2001,"AUSTRIA",17968,3909,9183,4359,517,NA,2.24,8021428.57142857,100,0.849,78.57560976,NA,40.066,59.934
2002,"AUSTRIA",18291,3971,9436,4351,533,NA,2.26,8093362.83185841,100,0.838,78.67804878,NA,40.345,59.655
2003,"AUSTRIA",19688,4265,10124,4772,528,NA,2.42,8135537.19008265,100,0.842,78.63170732,NA,40.625,59.375
2004,"AUSTRIA",19741,4158,10132,4858,592,NA,2.41,8191286.30705394,100,0.849,79.1804878,NA,40.906,59.094
2005,"AUSTRIA",20239,4230,10293,5096,620,NA,2.46,8227235.77235772,100,0.855,79.33170732,99.14829843,41.187,58.813
2006,"AUSTRIA",19679,4250,9984,4785,660,NA,2.38,8268487.39495798,100,0.861,79.8804878,NA,41.468,58.532
2007,"AUSTRIA",19017,4032,9765,4512,708,NA,2.29,8304366.81222707,100,0.881,80.1804878,NA,41.751,58.249
2008,"AUSTRIA",18824,3911,9422,4768,722,NA,2.26,8329203.53982301,100,0.884,80.43170732,NA,42.034,57.966
2009,"AUSTRIA",17107,2974,8897,4603,632,NA,2.05,8344878.04878049,100,0.886,80.33170732,NA,42.317,57.683
2010,"AUSTRIA",18408,3537,9218,5073,579,NA,2.19,8405479.45205479,100,0.895,80.5804878,98.45154185,42.601,57.399
2011,"AUSTRIA",17731,3599,8742,4788,602,NA,2.1,8443333.33333333,100,0.897,80.98292683,99.25717078,42.885,57.115
2012,"AUSTRIA",16982,3342,8458,4576,606,NA,2.01,8448756.21890547,100,0.899,80.93658537,97.41014309,42.853,57.147
2013,"AUSTRIA",17040,3402,8632,4410,596,NA,2.01,8477611.94029851,100,0.897,81.13658537,95.76835515,42.664,57.336
2014,"AUSTRIA",16011,3129,8259,4025,598,NA,1.88,8516489.36170213,100,0.901,81.4902439,93.78567197,42.474,57.526
1992,"AZERBAIJAN",15337,18,8522,6168,109,520,2.06,7445145.63106796,NA,NA,64.731,NA,46.868,53.132
1993,"AZERBAIJAN",13213,3,8411,4717,82,NA,1.75,7550285.71428571,NA,NA,64.81,NA,47.176,52.824
1994,"AZERBAIJAN",11447,1,6832,4550,64,NA,1.49,7682550.33557047,NA,NA,64.991,NA,47.485,52.515
1995,"AZERBAIJAN",9090,4,5427,3632,27,NA,1.17,7769230.76923077,NA,0.612,65.256,100,47.794,52.206
1996,"AZERBAIJAN",8524,4,5286,3203,30,NA,1.09,7820183.48623853,NA,0.612,65.573,NA,48.104,51.896
1997,"AZERBAIJAN",8129,4,5063,3019,43,NA,1.03,7892233.00970874,NA,0.617,65.899,NA,48.412,51.588
1998,"AZERBAIJAN",8638,1,5718,2893,27,NA,1.08,7998148.14814815,NA,0.626,66.207,NA,48.722,51.278
1999,"AZERBAIJAN",7793,NA,4579,3190,24,NA,0.97,8034020.6185567,97,0.633,66.491,NA,48.815,51.185
2000,"AZERBAIJAN",8047,NA,4903,3117,27,NA,0.99,8128282.82828283,98.908,0.64,66.763,100,48.614,51.386
2001,"AZERBAIJAN",7846,NA,3078,4524,71,173,0.96,8172916.66666667,98.635,0.648,67.054,NA,48.413,51.587
2002,"AZERBAIJAN",8076,NA,3080,4536,115,344,0.98,8240816.32653061,100,0.657,67.391,NA,48.213,51.787
2003,"AZERBAIJAN",8349,NA,3465,4654,138,91,1,8349000,99.023,0.666,67.791,NA,48.012,51.988
2004,"AZERBAIJAN",8751,NA,3475,5083,194,NA,1.03,8496116.50485437,99.184,0.674,68.249,NA,47.811,52.189
2005,"AZERBAIJAN",9364,NA,3995,5058,209,102,1.09,8590825.68807339,99.319,0.679,68.747,100,47.611,52.389
2006,"AZERBAIJAN",10681,NA,3542,5586,221,1333,1.23,8683739.83739837,99.5,0.704,69.259,NA,47.411,52.589
2007,"AZERBAIJAN",8320,6,3127,4798,230,160,0.95,8757894.73684211,99.556,0.709,69.752,NA,47.21,52.79
2008,"AZERBAIJAN",9682,4,2895,5660,217,906,1.09,8882568.80733945,99.685,0.719,70.201,NA,47.01,52.99
2009,"AZERBAIJAN",8700,4,2522,5128,175,871,0.97,8969072.16494845,99.839,0.736,70.597,NA,46.81,53.19
2010,"AZERBAIJAN",8366,6,2373,4904,174,909,0.92,9093478.26086956,99.94,0.74,70.938,100,46.594,53.406
2011,"AZERBAIJAN",9121,5,2855,5192,194,874,0.99,9213131.31313131,99.9,0.741,71.234,100,46.363,53.637
2012,"AZERBAIJAN",9696,4,3220,5413,267,792,1.04,9323076.92307692,100,0.745,71.506,100,46.117,53.883
2013,"AZERBAIJAN",9720,3,3293,5436,312,675,1.02,9529411.76470588,100,0.752,71.768,100,45.855,54.145
2014,"AZERBAIJAN",10223,2,3174,5782,390,876,1.06,9644339.62264151,100,0.758,72.022,100,45.578,54.422
1950,"BAHAMAS, THE",15,NA,15,NA,NA,NA,0.19,78947.3684210526,NA,NA,NA,NA,NA,NA
1951,"BAHAMAS, THE",18,NA,18,NA,NA,NA,0.22,81818.1818181818,NA,NA,NA,NA,NA,NA
1952,"BAHAMAS, THE",21,NA,21,NA,NA,NA,0.26,80769.2307692308,NA,NA,NA,NA,NA,NA
1953,"BAHAMAS, THE",22,NA,22,NA,NA,NA,0.26,84615.3846153846,NA,NA,NA,NA,NA,NA
1954,"BAHAMAS, THE",23,NA,23,NA,NA,NA,0.26,88461.5384615385,NA,NA,NA,NA,NA,NA
1955,"BAHAMAS, THE",35,NA,35,NA,NA,NA,0.4,87500,NA,NA,NA,NA,NA,NA
1956,"BAHAMAS, THE",38,NA,38,NA,NA,NA,0.41,92682.9268292683,NA,NA,NA,NA,NA,NA
1957,"BAHAMAS, THE",48,NA,48,NA,NA,NA,0.5,96000,NA,NA,NA,NA,NA,NA
1958,"BAHAMAS, THE",49,NA,49,NA,NA,NA,0.49,1e+05,NA,NA,NA,NA,NA,NA
1959,"BAHAMAS, THE",71,NA,71,NA,NA,NA,0.68,104411.764705882,NA,NA,NA,NA,NA,NA
1960,"BAHAMAS, THE",112,NA,112,NA,NA,NA,1.02,109803.921568627,NA,NA,64.74,NA,40.288,59.712
1961,"BAHAMAS, THE",149,NA,149,NA,NA,NA,1.29,115503.875968992,NA,NA,64.885,NA,39.546,60.454
1962,"BAHAMAS, THE",198,NA,198,NA,NA,NA,1.63,121472.392638037,NA,NA,65.011,NA,38.807,61.193
1963,"BAHAMAS, THE",193,NA,193,NA,NA,NA,1.52,126973.684210526,NA,NA,65.121,NA,38.074,61.926
1964,"BAHAMAS, THE",296,NA,296,NA,NA,NA,2.22,133333.333333333,NA,NA,65.219,NA,37.358,62.642
1965,"BAHAMAS, THE",359,NA,359,NA,NA,NA,2.56,140234.375,NA,NA,65.31,NA,36.657,63.343
1966,"BAHAMAS, THE",298,NA,298,NA,NA,NA,2.04,146078.431372549,NA,NA,65.402,NA,35.96,64.04
1967,"BAHAMAS, THE",465,NA,372,NA,93,NA,3.05,152459.016393443,NA,NA,65.499,NA,35.27,64.73
1968,"BAHAMAS, THE",445,NA,352,NA,93,NA,2.81,158362.989323843,NA,NA,65.607,NA,34.584,65.416
1969,"BAHAMAS, THE",476,NA,365,NA,111,NA,2.9,164137.931034483,NA,NA,65.73,NA,33.907,66.093
1970,"BAHAMAS, THE",702,NA,589,NA,113,NA,4.15,169156.626506024,NA,NA,65.87,NA,33.236,66.764
1971,"BAHAMAS, THE",1836,1,1722,NA,113,NA,10.56,173863.636363636,NA,NA,66.031,NA,32.571,67.429
1972,"BAHAMAS, THE",1770,NA,1636,NA,134,NA,9.95,177889.447236181,NA,NA,66.209,NA,31.912,68.088
1973,"BAHAMAS, THE",2147,4,2013,NA,130,NA,11.83,181487.743026205,NA,NA,66.397,NA,31.262,68.738
1974,"BAHAMAS, THE",2015,3,1904,NA,108,NA,10.88,185202.205882353,NA,NA,66.593,NA,30.619,69.381
1975,"BAHAMAS, THE",2251,NA,2199,NA,52,NA,11.92,188842.281879195,NA,NA,66.785,NA,29.983,70.017
1976,"BAHAMAS, THE",1763,NA,1726,NA,37,NA,9.14,192888.402625821,NA,NA,66.962,NA,29.353,70.647
1977,"BAHAMAS, THE",2650,NA,2640,NA,10,NA,13.44,197172.619047619,NA,NA,67.118,NA,28.734,71.266
1978,"BAHAMAS, THE",1802,NA,1757,NA,45,NA,8.95,201340.782122905,NA,NA,67.253,NA,28.121,71.879
1979,"BAHAMAS, THE",1890,NA,1829,NA,61,NA,9.17,206106.870229008,NA,NA,67.372,NA,27.516,72.484
1980,"BAHAMAS, THE",2179,NA,2115,NA,64,NA,10.35,210531.400966184,NA,NA,67.488,NA,26.898,73.102
1981,"BAHAMAS, THE",764,18,742,NA,4,NA,3.55,215211.267605634,NA,NA,67.615,NA,26.157,73.843
1982,"BAHAMAS, THE",617,10,598,NA,9,NA,2.8,220357.142857143,NA,NA,67.769,NA,25.429,74.571
1983,"BAHAMAS, THE",550,NA,547,NA,3,NA,2.44,225409.836065574,NA,NA,67.962,NA,24.715,75.285
1984,"BAHAMAS, THE",506,NA,506,NA,NA,NA,2.2,230000,NA,NA,68.196,NA,24.013,75.987
1985,"BAHAMAS, THE",412,NA,412,NA,NA,NA,1.76,234090.909090909,NA,NA,68.474,NA,23.326,76.674
1986,"BAHAMAS, THE",385,NA,385,NA,NA,NA,1.61,239130.434782609,NA,NA,68.793,NA,22.653,77.347
1987,"BAHAMAS, THE",388,NA,388,NA,NA,NA,1.6,242500,NA,NA,69.139,NA,21.993,78.007
1988,"BAHAMAS, THE",420,NA,420,NA,NA,NA,1.7,247058.823529412,NA,NA,69.496,NA,21.346,78.654
1989,"BAHAMAS, THE",531,1,530,NA,NA,NA,2.11,251658.767772512,NA,NA,69.854,NA,20.716,79.284
1990,"BAHAMAS, THE",532,1,531,NA,NA,NA,2.08,255769.230769231,100,NA,70.199,NA,20.162,79.838
1991,"BAHAMAS, THE",486,1,485,NA,NA,NA,1.86,261290.322580645,100,NA,70.518,NA,19.933,80.067
1992,"BAHAMAS, THE",489,1,487,NA,NA,NA,1.84,265760.869565217,100,NA,70.807,NA,19.707,80.293
1993,"BAHAMAS, THE",464,1,462,NA,NA,NA,1.71,271345.029239766,100,NA,71.061,NA,19.482,80.518
1994,"BAHAMAS, THE",460,1,459,NA,NA,NA,1.67,275449.101796407,100,NA,71.276,NA,19.26,80.74
1995,"BAHAMAS, THE",459,1,457,NA,NA,NA,1.64,279878.048780488,100,NA,71.451,NA,19.039,80.961
1996,"BAHAMAS, THE",455,1,454,NA,NA,NA,1.6,284375,100,NA,71.589,NA,18.82,81.18
1997,"BAHAMAS, THE",372,1,371,NA,NA,NA,1.3,286153.846153846,100,NA,71.698,NA,18.604,81.396
1998,"BAHAMAS, THE",458,1,457,NA,NA,NA,1.58,289873.417721519,100,NA,71.786,NA,18.389,81.611
1999,"BAHAMAS, THE",457,1,455,NA,NA,NA,1.55,294838.709677419,100,NA,71.858,NA,18.176,81.824
2000,"BAHAMAS, THE",455,1,454,NA,NA,NA,1.53,297385.620915033,100,0.776,71.914,NA,17.993,82.007
2001,"BAHAMAS, THE",428,1,427,NA,NA,NA,1.42,301408.450704225,96.066,0.779,71.954,NA,17.951,82.049
2002,"BAHAMAS, THE",430,1,429,NA,NA,NA,1.41,304964.539007092,100,0.781,71.977,NA,17.908,82.092
2003,"BAHAMAS, THE",414,2,412,NA,NA,NA,1.33,311278.195488722,100,0.782,71.986,NA,17.866,82.134
2004,"BAHAMAS, THE",470,2,468,NA,NA,NA,1.49,315436.241610738,100,0.784,71.988,NA,17.824,82.176
2005,"BAHAMAS, THE",475,2,473,NA,NA,NA,1.49,318791.946308725,100,0.786,71.987,NA,17.782,82.218
2006,"BAHAMAS, THE",454,2,452,NA,NA,NA,1.4,324285.714285714,100,0.788,71.988,NA,17.74,82.26
2007,"BAHAMAS, THE",461,1,460,NA,NA,NA,1.35,341481.481481481,100,0.789,71.998,NA,17.698,82.302
2008,"BAHAMAS, THE",408,1,407,NA,NA,NA,1.17,348717.948717949,100,0.79,72.022,NA,17.657,82.343
2009,"BAHAMAS, THE",448,1,446,NA,NA,NA,1.26,355555.555555556,100,0.787,72.067,NA,17.615,82.385
2010,"BAHAMAS, THE",451,1,450,NA,NA,NA,1.25,360800,100,0.789,72.144,NA,17.573,82.427
2011,"BAHAMAS, THE",509,1,507,NA,NA,NA,1.39,366187.050359712,100,0.793,72.263,NA,17.524,82.476
2012,"BAHAMAS, THE",537,1,536,NA,NA,NA,1.44,372916.666666667,100,0.807,72.424,NA,17.468,82.532
2013,"BAHAMAS, THE",764,1,763,NA,NA,NA,2.02,378217.821782178,100,0.807,72.62,NA,17.404,82.596
2014,"BAHAMAS, THE",659,1,657,NA,NA,NA,1.72,383139.534883721,100,0.807,72.847,NA,17.332,82.668
1933,"BAHRAIN",3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,"BAHRAIN",33,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,"BAHRAIN",145,NA,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,"BAHRAIN",532,NA,532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,"BAHRAIN",888,NA,888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,"BAHRAIN",949,NA,949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,"BAHRAIN",869,NA,869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,"BAHRAIN",810,NA,810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,"BAHRAIN",778,NA,778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,"BAHRAIN",714,NA,714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,"BAHRAIN",753,NA,753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,"BAHRAIN",769,NA,769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,"BAHRAIN",836,NA,836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,"BAHRAIN",917,NA,917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,"BAHRAIN",1078,NA,1078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,"BAHRAIN",1249,NA,1249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,"BAHRAIN",1258,NA,1258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,"BAHRAIN",377,NA,377,NA,NA,NA,3.26,115644.171779141,NA,NA,NA,NA,NA,NA
1951,"BAHRAIN",321,NA,321,NA,NA,NA,2.74,117153.284671533,NA,NA,NA,NA,NA,NA
1952,"BAHRAIN",351,NA,351,NA,NA,NA,2.93,119795.221843003,NA,NA,NA,NA,NA,NA
1953,"BAHRAIN",272,NA,272,NA,NA,NA,2.21,123076.923076923,NA,NA,NA,NA,NA,NA
1954,"BAHRAIN",285,NA,285,NA,NA,NA,2.22,128378.378378378,NA,NA,NA,NA,NA,NA
1955,"BAHRAIN",383,NA,383,NA,NA,NA,2.88,132986.111111111,NA,NA,NA,NA,NA,NA
1956,"BAHRAIN",288,NA,288,NA,NA,NA,2.07,139130.434782609,NA,NA,NA,NA,NA,NA
1957,"BAHRAIN",206,NA,206,NA,NA,NA,1.42,145070.422535211,NA,NA,NA,NA,NA,NA
1958,"BAHRAIN",352,NA,352,NA,NA,NA,2.34,150427.35042735,NA,NA,NA,NA,NA,NA
1959,"BAHRAIN",358,NA,358,NA,NA,NA,2.29,156331.877729258,NA,NA,NA,NA,NA,NA
1960,"BAHRAIN",157,NA,157,NA,NA,NA,0.97,161855.670103093,NA,NA,51.869,NA,17.68,82.32
1961,"BAHRAIN",483,NA,483,NA,NA,NA,2.89,167128.027681661,NA,NA,53.235,NA,17.663,82.337
1962,"BAHRAIN",434,NA,434,NA,NA,NA,2.52,172222.222222222,NA,NA,54.59,NA,17.645,82.355
1963,"BAHRAIN",326,NA,300,26,NA,NA,1.84,177173.913043478,NA,NA,55.911,NA,17.628,82.372
1964,"BAHRAIN",436,NA,409,26,NA,NA,2.4,181666.666666667,NA,NA,57.182,NA,17.611,82.389
1965,"BAHRAIN",335,NA,309,26,NA,NA,1.8,186111.111111111,NA,NA,58.388,NA,17.5,82.5
1966,"BAHRAIN",177,NA,146,31,NA,NA,0.93,190322.580645161,NA,NA,59.524,NA,17.239,82.761
1967,"BAHRAIN",274,NA,243,31,NA,NA,1.41,194326.241134752,NA,NA,60.596,NA,16.981,83.019
1968,"BAHRAIN",301,NA,160,141,NA,NA,1.51,199337.748344371,NA,NA,61.609,NA,16.725,83.275
1969,"BAHRAIN",347,NA,185,162,NA,NA,1.69,205325.443786982,NA,NA,62.56,NA,16.474,83.526
1970,"BAHRAIN",707,NA,523,183,NA,NA,3.34,211676.646706587,NA,NA,63.449,NA,16.225,83.775
1971,"BAHRAIN",829,10,552,267,NA,NA,3.77,219893.899204244,NA,NA,64.275,NA,15.979,84.021
1972,"BAHRAIN",1004,NA,412,592,NA,NA,4.4,228181.818181818,NA,NA,65.042,NA,15.735,84.265
1973,"BAHRAIN",1506,10,657,839,NA,NA,6.32,238291.139240506,NA,NA,65.757,NA,15.496,84.504
1974,"BAHRAIN",1474,NA,440,1035,NA,NA,5.88,250680.272108844,NA,NA,66.421,NA,15.259,84.741
1975,"BAHRAIN",1569,NA,480,1089,NA,NA,5.92,265033.783783784,NA,NA,67.04,NA,15.025,84.975
1976,"BAHRAIN",1793,NA,652,1141,NA,NA,6.35,282362.204724409,NA,NA,67.616,NA,14.794,85.206
1977,"BAHRAIN",2037,NA,798,1239,NA,NA,6.75,301777.777777778,NA,NA,68.152,NA,14.566,85.434
1978,"BAHRAIN",2118,NA,758,1361,NA,NA,6.58,321884.498480243,NA,NA,68.651,NA,14.341,85.659
1979,"BAHRAIN",2218,22,725,1472,NA,NA,6.51,340706.605222734,NA,NA,69.117,NA,14.118,85.882
1980,"BAHRAIN",2151,NA,624,1527,NA,NA,6.01,357903.494176373,NA,NA,69.55,NA,13.899,86.101
1981,"BAHRAIN",2325,NA,784,1541,NA,NA,6.25,372000,NA,NA,69.951,NA,13.683,86.317
1982,"BAHRAIN",2683,NA,988,1695,NA,NA,6.99,383834.048640916,NA,NA,70.317,NA,13.469,86.531
1983,"BAHRAIN",2244,NA,454,1790,NA,NA,5.69,394376.098418278,NA,NA,70.651,NA,13.258,86.742
1984,"BAHRAIN",2511,NA,653,1858,NA,NA,6.2,405000,NA,NA,70.957,NA,13.05,86.95
1985,"BAHRAIN",2780,NA,531,2249,NA,NA,6.67,416791.604197901,NA,NA,71.237,NA,12.845,87.155
1986,"BAHRAIN",3003,NA,444,2559,NA,NA,6.97,430846.484935438,NA,NA,71.496,NA,12.643,87.357
